product_id,cmno,name,category_id,category,is_main,is_protein,price,calories,protein,fat,carb,sugar,sodium,n_servings,price_source
509,0975298,三福濃厚鮮乳布丁,6,蛋糕甜品,0,1,35,221.0,5.8,15.8,13.8,13.1,44.0,1,curated
510,1413798,鮮乳坊莊園鮮乳雞蛋布丁,6,蛋糕甜品,0,1,35,196.6,5.9,10.1,20.6,19.9,60.3,1,curated
511,0591391,鮮乳坊起司銀絲卷,10,蒸箱食品,0,1,45,209.0,7.1,1.5,41.6,8.1,80.0,1,curated
512,0328057,阿奇儂X鮮乳坊生巧克力戀乳雪糕,14,冰品,0,1,30,177.3,3.1,9.7,19.4,15.1,28.0,1,curated
513,1056924,義美黑餅乾鮮乳銅鑼燒冰淇淋,14,冰品,0,1,30,209.0,3.9,9.5,26.9,15.4,56.9,1,curated
514,1413102,義美巧克力鮮乳消化餅冰淇淋,14,冰品,0,1,30,252.0,3.7,13.5,28.9,13.4,93.8,1,curated
515,0063988,牧場直送4.0鮮乳1858ml,16,乳製品,0,1,142,1263.5,59.5,74.5,89.0,85.5,745.0,5,curated
516,0201271,鮮乳坊A2β酪蛋白鮮乳,16,乳製品,0,1,152,636.4,30.0,37.6,44.8,43.2,376.0,4,curated
517,0414690,A2β酪蛋白鮮乳200ml,16,乳製品,0,1,19,136.0,6.4,8.0,9.6,9.2,80.0,1,curated
518,0557094,福樂一番鮮全脂鮮乳936ml,16,乳製品,0,1,83,608.0,29.2,34.8,44.8,40.4,376.0,4,curated
519,0600504,義美全脂鮮乳2L,16,乳製品,0,1,174,1312.0,61.6,74.4,99.2,97.6,800.0,8,curated
520,0670985,鮮乳坊桂芳鮮乳300ml,16,乳製品,0,1,24,204.0,9.6,12.0,14.4,13.8,120.0,1,curated
521,0791315,義美無乳糖全脂鮮乳,16,乳製品,0,1,28,135.0,6.6,7.4,10.6,8.4,71.4,1,curated
522,1009804,義美無乳糖全脂鮮乳900ml,16,乳製品,0,1,74,609.0,29.7,33.3,47.4,37.8,321.0,3,curated
