salePageId,title,price,suggestPrice,isSoldOut
11249577,【亞尼克】亞尼克生乳捲-雪天使2入(324G/入*2),1040,1040,False
11249573,【亞尼克】亞尼克生乳捲-雪天使10入(324G/入*10),3190,4200,False
11026136,【阿聰師的糕餅主意】阿聰師綜合小酥餅禮盒10入/盒((60g*10/盒)*8),3600,3600,False
10545633,【特美香】巧克力蛋糕(300g*16入),1760,1760,False
10545632,【特美香】黑糖蛋糕(300g*20入),1800,1900,False
10545625,【特美香】原味蛋糕(300g*16入),1760,1760,False
10545617,【特美香】黑糖蛋糕(300g*16入),1760,1760,False
10545616,【特美香】巧克力蛋糕(300g*20入),1800,1900,False
11147618,【大成食品】義式香草雞腿排(1包x1),55,120,False
7801521,【冷凍店取－料里長】生鮮全腿去骨嫩腿排(１９０±１０ｇ／包),54,84,False
7783866,【冷凍店取－大成食品】安心雞清胸肉(３００ｇ／包),85,99,False
7808957,【冷凍店取－勝崎生鮮】澳洲安格斯黑牛藍鑽雪花牛排(１００±１０％公克),59,129,False
11592617,【大成食品】青花椒雞腿排(190g/包),55,120,False
10981826,【冷凍店取-享吃美味】蒜味舒肥即食沙拉胸(100g±4.5g/包),45,79,True
10981838,【冷凍店取-享吃美味】香草舒肥即食沙拉胸(100g±4.5g/包),45,79,True
10981842,【冷凍店取-享吃美味】炙燒風味舒肥即食沙拉胸(100g±4.5g/包),45,79,False
7783869,【冷凍店取－大成食品】安心雞去骨清腿肉(３７５ｇ／包),123,140,False
11361701,【冷藏店取-金豐盛】古早味香滷嫩雞胸3包入(120g/包),176,207,False
11588317,【泓軒食品】鹹豬肉切片(醃)(200公克/包),69,99,False
10981825,【冷凍店取-享吃美味】油蔥風味舒肥即食沙拉胸(100g±4.5g/包),49,79,False
10981834,【冷凍店取-享吃美味】黑胡椒舒肥即食沙拉胸(100g±4.5g/包),49,79,False
10981837,【冷凍店取-享吃美味】原味舒肥即食沙拉胸(100g±4.5g/包),49,79,False
10981828,【冷凍店取-享吃美味】酒香舒肥即食沙拉胸(100g±4.5g/包),49,79,False
11361719,【冷藏店取-金豐盛】秘香椒麻嫩雞胸3包入(120g/包),176,207,False
10027592,【勝崎生鮮】澳洲帶骨小羊排(100±10%公克/片),69,239,False
10981835,【冷凍店取-享吃美味】椒麻舒肥即食沙拉胸(100g±4.5g/包),49,79,False
10981827,【冷凍店取-享吃美味】泰式舒肥即食沙拉胸(100g±4.5g/包),49,79,False
9632720,【冷凍店取-享吃美味】日式梅花里肌燒肉片(300g±15g/包),115,239,False
9433530,【冷凍店取-王品嚴選】法式香煎嫩鴨胸(230g/包),219,299,False
10981833,【冷凍店取-享吃美味】藥膳舒肥即食沙拉胸(100g±4.5g/包),49,79,False
11380902,【大成食品】重磅舒肥雞胸-泰式香檸(１７０±１０ｇ／包),85,99,False
10910001,【鮮肉王國】澳洲安格斯黑牛雪花牛排(100g±10%/包),79,149,True
9869172,【冷凍店取-王品嚴選 】王品嚴選義式香草雞胸(100g/包),79,109,False
11380908,【大成食品】重磅舒肥雞胸-黑胡椒湖鹽(１７０±１０ｇ／包),85,99,False
10981830,【冷凍店取-享吃美味】咖哩舒肥即食沙拉胸(100g±4.5g/包),49,79,False
11448976,【大成食品】冷凍清胸肉（馬鞍包）(2.7kg/6包/組),599,699,False
10964443,【大成食品】去骨雞腿(益活雞)(1盒x1),139,200,False
11370451,【大成食品】大成黑蜜豬五花火鍋肉片(200g/包)(效期至2026/08/20),139,200,False
